#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
AU|ARMA|-30.4198|151.628006|1112.0|Armidale, New South Wales|2004-03-19T00:00:00.0000|
AU|ARPS|-36.769901|141.838303|250.0|Mt Arapiles, VIC|2000-10-28T00:00:00.0000|
AU|AS01|-23.6647|133.950806|605.0|Alice Springs Array Element 01|2003-08-13T00:00:00.0000|
AU|AS02|-23.679199|133.936905|649.0|Alice Springs Array Element 02|2003-08-13T00:00:00.0000|
AU|AS03|-23.677401|133.919693|643.3|Alice Springs Array Element 03|2003-08-13T00:00:00.0000|
AU|AS04|-23.6597|133.929199|666.3|Alice Springs Array Element 04|2003-08-13T00:00:00.0000|
AU|AS05|-23.6492|133.947495|683.2|Alice Springs Array Element 05|2003-08-13T00:00:00.0000|
AU|AS06|-23.647499|133.971405|663.2|Alice Springs Array Element 06|2003-08-13T00:00:00.0000|
AU|AS07|-23.6656|133.969696|613.7|Alice Springs Array Element 07|2003-08-13T00:00:00.0000|
AU|AS08|-23.6814|133.960007|594.3|Alice Springs Array Element 08|2003-08-13T00:00:00.0000|
AU|AS09|-23.6994|133.941406|591.2|Alice Springs Array Element 09|2003-08-13T00:00:00.0000|
AU|AS10|-23.696899|133.913895|607.4|Alice Springs Array Element 10|2003-08-13T00:00:00.0000|
AU|AS11|-23.678301|133.897797|608.3|Alice Springs Array Element 11|2003-08-13T00:00:00.0000|
AU|AS12|-23.666401|133.904404|607.4|Alice Springs Array Element 12|2003-08-13T00:00:00.0000|
AU|AS13|-23.651899|133.894394|603.9|Alice Springs Array Element 13|2003-08-13T00:00:00.0000|
AU|AS14|-23.651699|133.910294|619.6|Alice Springs Array Element 14|2003-08-13T00:00:00.0000|
AU|AS15|-23.635599|133.912201|668.7|Alice Springs Array Element 15|2003-08-13T00:00:00.0000|
AU|AS16|-23.6369|133.929993|675.8|Alice Springs Array Element 16|2003-08-13T00:00:00.0000|
AU|AS17|-23.6644|133.991699|614.6|Alice Springs Array Element 17|2003-08-13T00:00:00.0000|
AU|AS18|-23.690001|133.980804|591.7|Alice Springs Array Element 18|2003-08-13T00:00:00.0000|
