#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
S1|AUALB|-34.9995|117.9046|50.0|St Joseph's College|2013-09-26T00:00:00.0000|
S1|AUALC|-23.6899|133.8835|573.0|St Philip's College|2015-08-19T00:00:00.0000|
S1|AUANU|-35.2839|149.1139|555.0|Australian National University|2022-11-01T11:32:11.5000|
S1|AUAPY|-26.2844|132.1353|670.0|Ernabella Anangu School|2019-08-07T01:46:00.0000|
S1|AUAYR|-19.5774|147.4088|13.0|Ayr State High School|2013-08-26T00:00:00.0000|
S1|AUBRM|-17.9565|122.2321|20.0|Broome Senior High School|2019-07-14T03:52:00.0000|
S1|AUBRN|-41.0405|145.8684|10.0|Burnie High School|2017-07-06T00:00:00.0000|
S1|AUBSH|-26.864|152.9547|26.0|Beerwah State High School|2013-08-26T00:00:00.0000|
S1|AUBUS|-33.6601|115.3828|13.0|Georgiana Molloy Anglican School|2013-10-20T00:00:00.0000|
S1|AUCAR|-24.8851|113.6586|17.0|St Mary Star of the Sea|2013-09-24T00:00:00.0000|
S1|AUCAS|-34.2637|135.7219|72.0|Cummins Area School|2013-08-26T00:00:00.0000|
S1|AUCSH|-16.9159|145.7682|17.0|Cairns State High School|2013-09-03T00:00:00.0000|
S1|AUDAR|-35.253|149.1377|575.0|Daramalan College|2012-04-11T00:00:00.0000|
S1|AUDCS|-32.2334|148.6278|276.0|Dubbo College Senior Campus|2013-05-30T00:00:00.0000|
S1|AUDHS|-12.44|130.833|26.0|Darwin High School|2013-08-26T00:00:00.0000|
S1|AUGRF|-34.2858|146.059|132.0|Marian Catholic College|2019-04-01T00:15:53.0000|
S1|AUHAR|-33.0927|115.8912|39.0|St Anne's School|2014-09-18T00:00:00.0000|
S1|AUHPC|-38.1068|142.3183|11.0|Hawkesdale P12 School|2013-05-24T00:00:00.0000|
S1|AUJCS|-33.2047|138.6098|464.0|Jamestown Community School|2013-08-23T00:00:00.0000|
S1|AUKAL|-30.7637|121.4789|373.0|John Paul College|2013-09-26T00:00:00.0000|
S1|AUKAR|-20.752|116.8178|45.0|St Luke's College|2013-09-15T00:00:00.0000|
S1|AUKAT|-14.4624|132.2829|122.0|Katherine High School|2013-08-29T00:00:00.0000|
S1|AUKHS|-33.4642|151.3827|27.0|Kincumber High School|2013-05-28T00:00:00.0000|
S1|AUKSC|-37.9684|145.1584|50.0|Keysborough Secondary College|2013-05-24T00:00:00.0000|
S1|AUKUL|-32.6697|118.1522|312.0|Kulin District High School|2013-11-21T00:00:00.0000|
S1|AULHS|-41.2519|147.215|173.0|Lilydale High School|2013-10-31T00:00:00.0000|
S1|AULRC|-29.4262|147.979|145.0|Lightning Ridge Central School|2013-08-29T00:00:00.0000|
S1|AUMAG|-36.1016|144.7482|127.0|Moama Anglican Grammar|2013-05-24T00:00:00.0000|
S1|AUMAR|-34.8916|138.6357|153.0|Marden Senior College|2013-08-26T00:00:00.0000|
S1|AUMAZ|-32.0069|116.0384|263.0|Mazenod Senior College|2013-12-04T00:00:00.0000|
S1|AUMBR|-35.134|139.2859|50.0|Murray Bridge High School|2016-06-20T00:00:00.0000|
S1|AUMHS|-35.3635|149.0888|615.0|Melrose High School|2012-04-11T00:00:00.0000|
S1|AUMOU|-24.5752|149.9814|153.0|Moura State High School|2013-08-26T00:00:00.0000|
S1|AUMTC|-37.6089|143.8771|48.0|Mt Clear College/Earth Ed|2013-05-24T00:00:00.0000|
S1|AUMTS|-35.3188|148.9964|667.0|Mt Stromlo|2011-09-01T02:22:00.0000|
S1|AUMUL|-28.5585|153.4949|60.0|Mullumbimby High School|2013-08-29T00:00:00.0000|2014-12-10T00:00:00.0000
S1|AUNHS|-12.1874|136.7832|20.0|Nhulunbuy High School|2013-08-28T00:00:00.0000|
S1|AUNRC|-23.3529|150.5329|38.0|North Rockhampton State High School|2013-09-01T00:00:00.0000|
S1|AUPHS|-31.099|150.8943|404.0|Peel High School|2013-05-30T00:00:00.0000|
S1|AUPKL|-41.0809|145.9011|171.0|Parklands High School|2016-11-25T00:00:00.0000|
S1|AURMK|-34.1728|140.7404|26.0|Renmark High School|2013-08-26T00:00:00.0000|
S1|AUROX|-30.5601|136.8971|106.0|Roxby Downs Area School|2013-09-02T00:00:00.0000|
S1|AURSC|-38.368|144.8866|23.0|Rosebud Secondary College|2013-05-24T00:00:00.0000|
S1|AUSIS|-35.2839|149.1147|585.0|Australian National University|2011-09-13T00:00:00.0000|2020-04-16T04:55:00.0000
S1|AUSMG|-36.4161|148.6084|951.0|Snowy Mountains Grammar School|2013-03-18T00:00:00.0000|
S1|AUSSC|-38.0977|147.0825|19.0|Sale College|2013-11-21T00:00:00.0000|
S1|AUTAR|-42.9425|147.3551|25.0|Taroona High School|2013-11-01T00:00:00.0000|
S1|AUTKS|-33.7846|151.0254|95.0|The King's School|2014-02-27T00:00:00.0000|
S1|AUTOO|-27.5452|151.9668|687.0|Toowoomba State High School|2013-08-26T00:00:00.0000|
S1|AUUHS|-35.3589|150.4696|44.0|Ulladulla High School|2013-09-15T00:00:00.0000|
S1|AUWSH|-27.3977|153.0372|60.0|Wavell State High School|2013-06-24T00:00:00.0000|
S1|TEST|-35.2839|149.1139|555.0|TESTING ONLY|2024-06-01T00:00:00.0000|
